"area","field","english_status","arabic_status","source","verification_or_missing_issue"
"Holding","Display name","draft","missing","Build prompt and raster references","Confirm official English and Arabic legal/display names"
"Holding","Hero proposition","draft","missing","Build prompt","Requires client-approved executive copy"
"Holding","35+ years claim","verification-required","verification-required","Build prompt","Confirm starting year, entity, and approved phrasing"
"Holding","Leadership attribution","verification-required","verification-required","Build prompt","Confirm Mr. Hisham Abdeen spelling, title, biography, and permission"
"Holding","Strategic sectors","draft","missing","Build prompt","Confirm taxonomy and remove unsupported categories"
"Holding","2012 phosphate milestone","verification-required","verification-required","Build prompt","Confirm date, parties, scope, and permission"
"Holding","Vision","missing","missing","None","Approved source text required"
"Holding","Mission","missing","missing","None","Approved source text required"
"Holding","Values","missing","missing","None","Approved source text required"
"JOLLAQ","Legal name","verification-required","missing","Build prompt and logo references","Confirm capitalization, legal suffix, and Arabic name"
"JOLLAQ","Commodities list","draft","missing","Build prompt","Confirm current product categories"
"JOLLAQ","Petroleum derivatives","verification-required","verification-required","Build prompt","Confirm exact scope and permitted wording"
"JOLLAQ","Homs Refinery contracts","verification-required","verification-required","Build prompt","Confirm organization name and permission to disclose"
"JOLLAQ","Aluminum profiles","draft","missing","Build prompt","Confirm product scope"
"JOLLAQ","Proof module","missing","missing","None","Supply a verified project, contract, shipment, or capability story"
"Al Maria","Legal name","verification-required","missing","Build prompt and conflicting logo references","Confirm spelling, legal suffix, Arabic name, and official logo"
"Al Maria","Government/institutional supply","verification-required","verification-required","Build prompt","Confirm permitted claims and institutions"
"Al Maria","International procurement","draft","missing","Build prompt","Confirm scope and markets"
"Al Maria","Edible oils","draft","missing","Build prompt","Confirm sources/categories without naming unapproved partners"
"Al Maria","Phosphate exports","verification-required","verification-required","Build prompt","Confirm contracts, dates, and public-sector wording"
"Al Maria","Registration number","verification-required","verification-required","Raster logo","Do not publish until official registration evidence is supplied"
"Al Maria","Proof module","missing","missing","None","Supply a verified agreement or trade story"
"Industrial","Official display/legal name","verification-required","missing","Build prompt","Confirm legal entity and whether SYNTHEX Industrial is a brand or company"
"Industrial","Industrial chemicals","draft","missing","Build prompt","Confirm categories"
"Industrial","Paint raw materials","draft","missing","Build prompt","Confirm categories"
"Industrial","Aluminum/cement/steel","draft","missing","Build prompt","Confirm exact products including rebar and billets"
"Industrial","Paint manufacturing project","verification-required","verification-required","Build prompt","Confirm stage, location, timing, and approved description"
"Industrial","Official logo","missing","missing","None","Do not invent a replacement logo"
"Industrial","Proof module","missing","missing","None","Supply verified facility/project material"
"SHAMCO","Legal name","verification-required","missing","Build prompt and conflicting logo references","Confirm LLC name, Arabic name, and official logo variant"
"SHAMCO","Domestic logistics","draft","missing","Build prompt","Confirm service scope"
"SHAMCO","Agent/distributor network","verification-required","verification-required","Build prompt","Confirm structure and approved terminology"
"SHAMCO","Nationwide coverage","verification-required","verification-required","Build prompt","Supply geographic evidence and approved claim"
"SHAMCO","Proof module","missing","missing","None","Supply verified network, warehouse, or distribution story"
"Contact","Email","missing","missing","None","Approved address required"
"Contact","Phone","missing","missing","None","Approved number required"
"Contact","Physical address","missing","missing","None","Approved legal/contact address required"
"Contact","Social links","missing","missing","None","Approved accounts required"
"Legal","Privacy policy","missing","missing","None","Requirements depend on final form/analytics scope"
"Legal","Registration details","missing","missing","None","Official legal details required"

