"brand_or_area","candidate_assets","phase_1_use","production_status","required_client_action"
"SYNTHEX Holding","25, 26, 27","Color/material reference and text-only label","Blocked for final logo use","Provide official SVG/PDF/AI master and select approved lockups"
"JOLLAQ","28, 30, 36","File 28 as visual reference; text-only label in prototype","Blocked for final logo use","Provide official English/Arabic vector lockups and legal spelling"
"Al Maria","32, 33, 34, 35","Blue/gold theme reference only; text-only label","Blocked; files 32/33 contain apparent typo and variants conflict","Provide corrected official vector and confirm registration wording"
"SYNTHEX Industrial","8","Material-world reference only; text-only label","Blocked; no official identity supplied","Provide official logo or approve holding-derived text treatment"
"SHAMCO","29, 31, 37","Blue/green/gold/silver range reference only; text-only label","Blocked; three conflicting marks","Select official mark and provide vector/light/dark variants"
"Holding hero","1, 4, 5, 10","3D modeling and lighting reference","Reference-only","Approve original real-time interpretation after storyboard review"
"Holding network","2, 11","Spatial/network reference","Reference-only","Confirm no factual geography is inferred"
"JOLLAQ world","6, 12, 13","Commodity/cargo material reference","Reference-only","Supply authentic proof imagery if documentary content is desired"
"Al Maria world","7, 14, 15","Formal planes/routes material reference","Reference-only","Supply verified contract/project evidence; generated documents will not ship"
"Industrial world","8, 16, 17","Metal/chemical/paint material reference","Reference-only","Supply authentic project/facility imagery"
"SHAMCO world","9, 18, 19","Network/route material reference","Reference-only","Supply verified coverage data before any factual map"
"Agricultural photography","20, 21, 22, 23, 24","Mood reference only","Prohibited as documentary proof","Supply authentic rights-cleared field/operations photography"

